"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"D2","BLUE","Top","LED_0402_BLUE","56.5000","53.5000","180","LED 0402 BLUE SMD"
"D1","GREEN","Top","LED_0402_GREEN","56.5000","56.5000","180","LED 0402 GREEN SMD"
"C15","0.1uF","Top","CAP_0805","33.5000","45.0000","0","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C14","0.1uF","Top","CAP_0805","42.9999","39.5001","90","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"FB1","FB0402","Top","FB_0402","61.0000","44.5000","180","Ferrite Bead SMD 0402"
"C13","0.1uF","Top","CAP_0805","39.4999","44.9999","180","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C12","0.1uF","Top","CAP_0805","37.0001","31.0001","0","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"Y2","32.768KHz","Top","XTAL_MC-405_32.7680K-G3","25.7500","42.6000","180","Crystals SMD AT XTL MHZ +/-50PPM 12.5 PF 250 T/R"
"Y1","8MHz","Top","XTAL_314_240X47_SMD","36.5000","48.7500","180","Crystals 8MHz 22pF -20C 70C"
"U1","STM32F103C8T6","Top","LQFP-48_19.6_393_58X11_SMD","35.7500","38.0000","270","ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH"
"SW1","TACT SWITCH","Top","SW_342_SMD","60.5000","36.7500","90","Tactile Switch SPST-NO Top Actuated Surface Mount"
"REG1","RT9193-33GB","Top","SOT23-5","53.5001","46.9999","90","Linear Voltage Regulator IC 1 Output 300mA SOT-23-5"
"R6","10K","Top","RES_0805","57.0000","35.5500","90","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R5","10K","Top","RES_0805","65.2501","29.7499","270","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R4","1K","Top","RES_0805","52.5500","53.5000","180","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R3","1K","Top","RES_0805","52.5500","56.5000","180","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R2","10Mohm","Top","RES_0805","36.4500","52.5000","0","10 MOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, High Voltage Thick Film"
"R1","10K","Top","RES_0805","67.5001","29.7499","270","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"J5","20X1 Bergstrip","Top","CON20_100_40D72_TH_ST","45.9327","21.4459","270","20 pin, 1 row, 2.54mm pitch bergstrip"
"J4","20X1 Bergstrip","Top","CON20_100_40D72_TH_ST","45.9727","24.4459","270","20 pin, 1 row, 2.54mm pitch bergstrip"
"J3","MICRO USB2.0","Top","CON_10118192-0001LF_SMD","67.5000","46.5000","90","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle"
"J2","4X1 Bergstrip","Top","CON4_100_40D72_TH_ST_MALE","54.1557","37.8989","0","4 pin, 1 row, 2.54mm pitch bergstrip"
"J1","2X3 Berg Strip","Top","CON6_100_59D78_TH_ST_Duplicate","66.2700","36.5000","90","6 pin, 2 row, 2.54mm pitch bergstrip"
"C11","0.1uF","Top","CAP_0805","28.5001","36.4999","270","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C10","2.2u","Top","CAP_0603","26.0000","36.5000","270","Capacitor SMD 0603"
"C9","22pF","Top","CAP_0805","53.4999","49.9999","180","22pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"
"C8","1uF","Top","CAP_0805","49.5001","47.4999","270","1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C7","0.1uF","Top","CAP_0805","57.0001","39.9999","270","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C6","22pF","Top","CAP_0805","33.0000","53.5000","270","22pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"
"C5","22pF","Top","CAP_0805","40.0000","53.5000","270","22pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"
"C4","0.1uF","Top","CAP_0805","47.5001","47.4999","270","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C3","0.1uF","Top","CAP_0805","57.5000","46.5000","270","0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C2","2.2u","Top","CAP_0603","60.0000","46.7500","270","Capacitor SMD 0603"
"C1","2.2u","Top","CAP_0603","62.0000","46.7500","270","Capacitor SMD 0603"
